de,en
"UTX-Filter: Bei Datum/Zeit-Kanälen können nun auch Millisekunden angegeben werden. Beispiel: 12:30:12,123 .",UTX-Filter: Date and Time channels can contain milliseconds.
Doch lassen sich aus diesen Bemerkungen keine auf die Unterkonsumtion beruhende Krisentheorien ableiten oder die Realisierung des Mehrwerts zum Hauptproblem der kapitalistischen Produktionsweise machen.,"However, these remarks provide no foundation for a theory of crisis based on underconsumption, nor can the realization of surplus value be made the principal problem of the capitalist mode of production."
Ich bin also keine fünf mehr.,So I'm not five years old any more.
[AIDA 2],[AIDA 1]
"2014-03-10, 08:39 PM #1","2014-12-20, 06:19 PM #1"
Diese tolle Location liegt an der Treppe... zum Thema,This fabulous place is located by the stairs that lead to... Find out more
"13-04-2007, 23:11",quote:
Man kann ihm nicht trauen.,You don't. You can't trust him.
kde,kde
Dann lackierte ich den gesamten Innenraum des Dioramas grau.,"Then, I painted the complete internal area of the diorama grey."
Ein Poststück?,A piece a mail?
"Sonntag, 13. März 2016, 01:47 UTC+1","Freitag, 11. März 2016, 22:35 UTC+1"
"Computer, was ist das für ein Nebel, den ich da sehe?","Computer, what is that mist I'm seeing?"
(15 commentaires),(28 commentaires)
"Denn es ist, wie …","Denn es ist, wie …"
URL to article: http://if-blog.de/rd/wo-bleibt-der-turnaround/,URL to article: http://if-blog.de/en/rd/wo-bleibt-der-turnaround/
Concept store (43),Concept store (43)
- Mach dich selbst glücklich.,You are just like your father.
"2. Tanz der Sonnenblumen 40/40 cm., Oil, Preis: 100 EUR","2. Dance from the sunflowers, 40/40 cm., Oil, Price: 100 EUR"
"Die Lizenzanträge müssen in den ersten sieben Tagen des Monats gestellt werden, der dem jeweiligen Teilzeitraum gemäß Artikel 2 vorausgeht.",Licence applications may be lodged only in the first seven days of the month preceding each subperiod referred to in Article 2.
Da lang!,This way!
"Die jahrzehntelange Haltbarkeit der Feuerräume, ihre guten Eigenschaften als Backöfen und die konstante Wärmeabgabe sicherten das Fortbestehen der Zunft.","The characteristics of a proper fireplace, like the durable fire chamber to last for decades, good baking properties and consistent emission of heat, ensured the future well-being of the master and his family."
"Wollen Sie das nicht, kann ich nichts tun.","If you can't accept that, I can't help you."
Das fünf Sterne Restaurant zum ruhigen Geniessen....,The five star Restaurant – to chill out....
Expedition Datum:16/04/2012,Expedition Date:16/04/2012
"Die Gaben und Begabungen seines Lebens als Priester wurden zur Quelle der Gnade für Millionen von Menschen auf der ganzen Welt. Heute schließe ich mich euch allen an, um Gott Dank zu sagen für Seine wunderbaren Wege im Leben von P. James.",The Gifts and Giftedness of his life as a priest have become the source of Grace for millions of people all over the world.
Das Parlament muss sich unnachgiebig zeigen und weiterhin auf Freiheit als Vorbedingung bestehen.,Parliament has to stand firm and continue to insist on freedom as a prerequisite.
"Ihr Ziel ist es, die Kapazitätskrise abzuwenden, mit der aufgrund des prognostizierten Anstiegs der Zahl der Flüge um 50 % in den nächsten 10 bis 20 Jahren zu rechnen ist.",The Commission is looking to head off a capacity crunch as the number of flights is forecast to increase by 50% over the next 10-20 years.
- Was meinst du damit?,- What do you mean?
Forum : San Francisco,Forum : San Francisco
TV vorhanden (cat. Top Presta),TV (cat. Top Presta)
"Das Nordiska Afrikainstitutet an der Universität Uppsala in Schweden ist ein Forschungsinstitut, das gleichzeitig auch als Dokumentations- und Informationszentrum für das heutige Afrika in den Nordischen Ländern dient.","Nordic Africa Institute (""Nordiska Afrikainstitutet"") serves as a research, documentation and information centre on modern Africa for the Nordic countries."
"Simon weiß wahrscheinlich, wer sie sind.",Simon probably knows who they are.
Ich lasse Sie nicht in das Flugzeug steigen.,"I told you, I'm not letting you get on that plane."
Der Kerl hat ein paar Schritte drauf.,- Wow. That dude's got some moves.
"Außerdem sieht der ganze Aufbau so aus wie die Dota-Karte, wenn man von oben schaut.","Plus, the whole setup here if you look from above looks exactly like a Dota map."
"Benny, was ist los?","Benny, what's going on?"
"-1,1 °C 2,0 °C Max. 14:15","30,0 °F 35,6 °F max. 14:15"
ID:T598,ID:E850
Wir befinden uns in einer Spirale der Umweltzerstörung.,We are in a spiral of environmental decline.
B&B (2),Lodge (2)
"arnebab auf twitter - Mo, 10/01/2012 - 14:59","arnebab auf twitter - Mi, 02/01/2012 - 13:06"
Das ist super.,That's awesome!
Der Strom wird zwischen den Mitgliedstaaten ausgetauscht.,Electricity is exchanged between Member States.
Ausschöpfung der Quote,Quota exhaustion
Nicht alle sollten Andreessens Rat befolgen und Abstand vongeisteswissenschaftlichen Studien nehmen!,Not everyone should heed Andreessen’s exhortation to quitliberal arts programs!
Was frühstücken wir?,What's for breakfast?
Das solltest du ihn fragen.,You should ask him.
Partner-ID: Passwort:,Forgot password:
"Sie alle gehen jetzt, so wie ich.","All of you are leaving now, as am I."
"Lediglich das Ruder und der Turm wurden konserviert und sind heute im ""Buffalo and Erie County Naval & Military Park"" in Buffalo, New York ausgestellt.","Her sail and upper rudder were preserved for display at the Buffalo and Erie County Naval & Military Park in Buffalo, New York."
"« Reply #321 on: 15. July 2015, 20:26:49 »","« Reply #118 on: 04. June 2015, 10:45:40 »"
Ich habe es aus Liebe getan.,I did it because I loved him
Ich habe nur Hunderter.,They only gave me $100 bills.
This new page was generated in 0.018723 seconds.,This new page was generated in 0.011413 seconds.
Was macht Ihr hier mit so vielen Stangen?,What are you doing here with so many poles?
ED: Komm schon.,Come on.
Service digital identity (Abschnitt 5.6.3),Service digital identity (clause 5.6.3)
Im Doppel!,In double!
Gemeinsam mit dem didaktischen Text vermitteln diese Illustrationen dem Betrachter auf künstlerisch anspruchsvollstem Niveau die Tradition der Jagd.,Together with the didactical text these illustrations impart the tradition of the hunt to the viewer on an artistically formidable level.
Darreichungsform,Pharmaceutical Form
00:38,42:31
SchÃ¶ne Wohnung (4 Zimmer - 111m²),Nice flat (4 rooms - 111sqm)
"Donnerstag, 10. März 2016, 14:32 UTC+1","Mittwoch, 9. März 2016, 20:31 UTC+1"
- Nein!,No!
"Ja, bring mich um, du bist stärker als ich!","Yes, kill me because you're stronger then me!"
Ich brauche deine Hilfe.,I need help.
"Offroad-Rennen ist ein Ereignis, bei dem Monstertrucks, Rallyeautos, Pickups und Buggys gegeneinander antreten.","Offroad Racers Contest is the event where monster trucks, rally cars, pickups and buggies compete with each other."
"Nur ein kleiner Bienenstich, und dann spürst du gar nichts mehr.","Just a little bee sting, and then you won't feel anything at all."
- Aber er ist da.,- But it is there.
Mehr lesen,Read more about Vittorio PRODI
"1 Einkommen au unselbständiger Arbeit je lbhängig Beschäftigten, geteilt durch Arbeitsproduktivität je abhängig Beschäftigten, definiert als BIP zu konstanten Preisen geteilt durch totale Beschäftigung.","1 Compensation of employees per head divided by labour productivity per head, defined as GDP in volume divided by total employment."
August 2005 führte die Besatzung von Tuninter-Flug 1153 mit einer ATR 72 der Fluggesellschaft Tuninter vor der Küste Siziliens eine Notwasserung durch.,"* On 6 August 2005, Tuninter Flight 1153, a Tuninter ATR 72–202 en route from Bari, Italy, to Djerba, Tunisia, ditched in the Mediterranean Sea about from the city of Palermo."
"Ich weiß, und....und es tut mir leid.","I know, and... and I'm sorry."
"Epoche/Zeit: III, IV, V / Übergangszeit, Modern","Epoca/Era: III, IV, V / Transizione, Moderna"
Wie hat er uns gefunden?,How'd he find us?
The requested URL /dictionary/f/_fűrész.htm was not found on this server.,The requested URL /dictionary/f/_filmy.htm was not found on this server.
Denn sie muss am Aufnahmetag nichts essen.,You can't just dismiss us like that.
Das denkt Ranbir auch.,"In fact, I'm convinced of it."
"Dabei würde ein zufälliger Beobachter denken, du tust gar nicht viel.","And yet, to a casual observer, it would appear that you do very little around here."
"In der Verpackungsindustrie ist eine schnelle, effiziente und hochwertige Serienproduktion wichtig.","Fast, efficient and high-quality volume production is essential in the packaging industry."
- Ich kann es kaum erwarten!,"# When I say, ""Be mine"""
Pages: 1 2 3 4 5 6 [7] 8 Go Down,Pages: 1 2 3 4 5 6 [7] 8 9 10 11 12 ... 331 Go Down
"- Vielen Dank, Sir.","- Thank you, sir."
"USA, Buda","USA, Sacramento"
"Er kommt wieder in den Zwinger, oder?","- Takin'him back to the kennel, right? Yeah?"
"Deutschkurs in München, Hamburg, Frankfurt, Deutschkurse in Deutschland.","Their EFL English School in London, UK offers courses in General English, Intensive courses, Business English and Examination Preparation."
Sveti Martin-6154-5(3 + 2),Sveti Martin-6154-5(3 + 2)
"Umbopa gibt sich den Engländern als Ignosi, Sohn des rechtmäßigen Königs von Kukuanaland zu erkennen, den dessen Bruder Twala vor Jahren ermordete.","He came to power years before when he murdered his brother, the previous king, and drove his brother's wife and infant son, Ignosi, out into the desert to die."
Ich gehe schlafen.,I'm going to bed.
"»Als ich für ein Jahr in Paris lebte, nahmen meine Freundin Anne Atik und ich einmal einen Vorortszug nach Drancy, um uns den Ort anzusehen, an dem die Pariser Juden für ihre Reise in die Vernichtung zusammengetrieben wurden.","""When I lived for a year in Paris, my friend Anne Atik and I took a suburban train to Drancy to see the place where the Jews of Paris were collected by their hosts for their trip to oblivion."
Ob wir überhaupt noch eine Perspektive haben?,That I doubt we still have a chance.
Ich dachte nur...,I'm sorry...
Veranstaltung(4) Video(2) Nachbarwissenschaften(53),"Combining (i) and (ii) is also distortionary, while efficiency can be secured by combining (i) and (iii)."
"Das Schloss befindet sich auf einer kleinen Anhöhe, die den Talboden um etwa 30 m überragt.",The castle is on a small hill which towers about 30 meters above the valley floor.
Offizielle Website: http://www.noahmovie.co.uk,Other website: http://www.noahmovie.co.uk/
"Komm her, Goldstück!","Come here, darling."
"Warum würdet ihr mir das antun, nachdem ich dir geholfen habe?",Why would you dump on me after I helped you?
"« Reply #39 on: November 05, 2007, 17:50:01 »","« Reply #5 on: October 29, 2008, 04:32:13 »"
Erfahren Sie mehr über Operationsleuchten,Learn more about Surgical Lights
"Posted: 14 Mar 2012, 00:14","Posted: 20 Aug 2012, 11:50"
Fotos des fertig gebauten Modelles,pictures of the built model
In meinem nächsten Urlaub muss ich woanders hin.,Next vacation I must really go somewhere else.
"Nein, nein, nein.","- No, no, no."
"- Mist, warte eine Sekunde.","Oh. shit, hold on one second."
"Ich möchte besonders hervorheben, daß die interregionale Zusammenarbeit dazu beiträgt, die örtlichen und regionalen Gebietskörperschaften in den europäischen Integrationsprozeß einzubeziehen.",I must stress that interregional cooperation significantly encourages the involvement of local and regional authorities in the process of European integration.
Außerdem leistet er mir selbstlos Gehorsam.,"Plus absolute, selfless obedience."
"Und es verbindet Menschen, allen Schranken von Sprache und Tradition zum Trotz, und trotz verschiedener Arbeitsbedingungen. Davon handelt unsere Geschichte, und wir sollten fortfahren, Geschichte zu machen. Ich danke Ihnen für Ihre Aufmerksamkeit. Aus dem Englischen von Effi Böhlke","And it does unite people, despite the barriers of language and tradition, and despite diverse terms of employment."
[14] http://www.iofc.org/de/node/3735,[14] http://www.iofc.org/de/node/6930
"Ich will auf diese Prinzipien näher eingehen, indem ich ein paar Einzelbereiche erörtere.",I should like to qualify these principles by making a few comments on some of the individual issues.
Tagungraum (1),Tagungraum (76)
"Erreignisse der letzten Jahre zeigen, dass man ohne dauerhaften Frieden und nachhaltige Entwicklung die Einhaltung der Menschenrechte nicht erreichen kann.","The events of the recent years confirm that without lasting peace and sustainable development, it is impossible to ensure human rights."
Das Saatgut ist ausreichend sortenecht und sortenrein.,The seed shall have sufficient varietal identity and purity.
"Deprimiert starrte ich aus dem Fenster des Kaffeeraumes und dachte darüber nach, wie ich mich verbessern könnte.","Feeling depressed, I looked out the window from the coffee room and thought about ways that I might improve myself."
Ergebnisse 1 - 3 von 3 Show:,Αποτελέσματα 1 - 1 από 1 Show:
Wir müssen weg.,"We got to get out of here, right now!"
"2012-01-29, 03:29 PM","2013-04-22, 06:33 PM"
- Wer?,She'll be easily intimidated.
"Ein nach den ""Corpus-Juris"" Vorschlägen eingesetzter Europäischer Staatsanwalt wäre mit weitreichenden Befugnissen zur Durchführung von Ermittlungen in den Mitgliedstaaten ausgestattet.",A European Public Prosecutor established according to Corpus Juris would have wide-ranging powers to carry out investigations in Member States.
